id,season_id,competition_id,date,kickoff_time,is_home_match,spurs_score,opponent_score,venue,attended,notes,created_at,attendance,home_team_id,away_team_id
ba521a3c-7916-4836-8e31-7da9b3c7d661,b94b8778-6dbc-4cc3-b6fc-dc78f9b31eac,8d1ae4a5-d398-40c3-824d-d85c8e182fe8,2025-11-02,12:00:00,TRUE,2,1,Brisbane Road,TRUE,"Kick off delayed by 15 minutes to ensure the air ambulance was on site. 

Liverpool took the lead in the 11th minute with a goal from Beata Olsson. Koga equalised within 5 minutes. Spurs then took the lead early in the second half with a goal from Bethany England and from there. it only look like's going our way.

Significant injury time - 22 minutes - at end of match due to serious next injury to Liverpool's Mia Enderby.",2026-01-09 22:30:32.00992+00,1674,1,6
057cd21c-900b-4512-8c80-ad6077844f0e,b94b8778-6dbc-4cc3-b6fc-dc78f9b31eac,8d1ae4a5-d398-40c3-824d-d85c8e182fe8,2025-12-07,12:00:00,TRUE,2,1,Brisbane Road,TRUE,"Deslandes sent of for Villa in 65th minute
Hanson gives Villa the lead in 84th minute
England immediately equalises
Holdt scores winner in 95th minute",2026-01-02 17:29:37.473761+00,1356,1,2
d5861ec3-4ac1-439c-a263-9b80c6682cf7,b94b8778-6dbc-4cc3-b6fc-dc78f9b31eac,8d1ae4a5-d398-40c3-824d-d85c8e182fe8,2025-12-14,14:30:00,FALSE,3,3,Progress with Unity Stadium,FALSE,"Spurs lead 3-0 with goals from England, Summanen and Thomas. United comeback with a goal from Toone and two from Rolfö.",2026-01-02 17:31:48.170355+00,3148,3,1
bbc87d59-9f59-4854-9b08-b13bcbd572da,b94b8778-6dbc-4cc3-b6fc-dc78f9b31eac,df73be44-b21e-4f1a-8bfa-cc10265ca28f,2025-12-21,13:00:00,FALSE,1,2,Progress with Unity Stadium,FALSE,"Quarter Final game
Spurs took the lead again, with a goal from Drew Spence, but Manchester won with goals from Park and Rolfö.",2026-01-02 23:08:31.930726+00,2027,3,1
29bda540-f281-4df6-891d-bc1ebd597d57,b94b8778-6dbc-4cc3-b6fc-dc78f9b31eac,83963edf-6813-4f79-85b3-0730894c31ec,2026-01-18,12:00:00,TRUE,3,0,Brisbane Road,TRUE,"Spurs dominated the first half and got the opener with thanks to Gaupset for doing all the hard work and forcing a save from the keeper, but Beth ounced onthe rebound to put us ahead. Second half, a few mistakes crept in, but a strike from Drew Spence and a tap-in for Lenna after a save from a M. Nilden shot meant the fixture was never in doubt. 

From the crowd today, there was the series of ""Sarah, put it in the box"" shouts that provided many laughs.

We also syated behind today and manage d to get a pghoto of my son with his favourtie player, which made the already large grin on my face, even larger!",2026-01-04 21:43:44.694258+00,1062,1,8
5d0d6d33-0028-4b26-ae59-1c4dfc4fbdc3,b94b8778-6dbc-4cc3-b6fc-dc78f9b31eac,8d1ae4a5-d398-40c3-824d-d85c8e182fe8,2026-02-08,14:25:00,TRUE,,,Tottenham Hotspur Stadium,TRUE,,2026-01-18 17:16:05.441359+00,,1,5
f64d643d-3662-4e2e-bc30-899d7914110a,b94b8778-6dbc-4cc3-b6fc-dc78f9b31eac,8d1ae4a5-d398-40c3-824d-d85c8e182fe8,2025-09-07,12:00:00,TRUE,1,0,Brisbane Road,TRUE,,2026-01-09 23:39:42.769551+00,1735,1,14
70467edb-1e72-43b1-9c80-c7e03709bac3,b94b8778-6dbc-4cc3-b6fc-dc78f9b31eac,8d1ae4a5-d398-40c3-824d-d85c8e182fe8,2025-09-14,14:30:00,FALSE,2,0,Goodison Park,FALSE,,2026-01-09 23:38:08.380595+00,6473,13,1
6d29d37e-4f60-4096-bf19-58a2811ed4ec,1142cb89-0bf6-436a-9916-c4f8cae3eb78,83963edf-6813-4f79-85b3-0730894c31ec,2024-05-12,14:30:00,FALSE,0,4,Wembley Stadium,TRUE,,2026-01-04 22:34:38.33986+00,76082,3,1
b2236b19-f4ec-46fb-bc24-edeb46cecd75,b94b8778-6dbc-4cc3-b6fc-dc78f9b31eac,df73be44-b21e-4f1a-8bfa-cc10265ca28f,2025-11-23,15:00:00,FALSE,1,0,Robins High Performance Centre,FALSE,Final group game,2026-01-04 22:44:52.247516+00,667,9,1
